Date,open,high,low,close,tick_volume
2019-06-27 00:30:00,136694.0,136746.0,136666.0,136733.0,794
2019-06-27 00:45:00,136733.0,136779.0,136702.0,136715.0,644
2019-06-27 01:00:00,136718.0,136744.0,136697.0,136722.0,381
2019-06-27 01:15:00,136723.0,136742.0,136704.0,136735.0,263
2019-06-27 01:30:00,136735.0,136751.0,136703.0,136704.0,417
2019-06-27 01:45:00,136703.0,136738.0,136702.0,136718.0,160
2019-06-27 02:00:00,136718.0,136754.0,136713.0,136749.0,230
2019-06-27 02:15:00,136748.0,136752.0,136727.0,136750.0,113
2019-06-27 02:30:00,136750.0,136751.0,136719.0,136727.0,184
2019-06-27 02:45:00,136727.0,136770.0,136723.0,136768.0,421
2019-06-27 03:00:00,136768.0,136772.0,136713.0,136754.0,780
2019-06-27 03:15:00,136755.0,136755.0,136640.0,136713.0,1076
2019-06-27 03:30:00,136714.0,136775.0,136697.0,136723.0,1079
2019-06-27 03:45:00,136722.0,136723.0,136629.0,136695.0,1323
2019-06-27 04:00:00,136695.0,136746.0,136683.0,136698.0,1588
2019-06-27 04:15:00,136700.0,136721.0,136682.0,136715.0,945
2019-06-27 04:30:00,136714.0,136806.0,136713.0,136754.0,1479
2019-06-27 04:45:00,136755.0,136839.0,136745.0,136811.0,1277
2019-06-27 05:00:00,136811.0,137018.0,136791.0,136971.0,2249
2019-06-27 05:15:00,136972.0,136986.0,136902.0,136932.0,1491
2019-06-27 05:30:00,136932.0,137001.0,136886.0,136909.0,1649
2019-06-27 05:45:00,136909.0,136998.0,136893.0,136977.0,1013
2019-06-27 06:00:00,136977.0,136995.0,136947.0,136980.0,973
2019-06-27 06:15:00,136979.0,137023.0,136973.0,137017.0,976
2019-06-27 06:30:00,137017.0,137035.0,137000.0,137019.0,779
2019-06-27 06:45:00,137019.0,137102.0,137018.0,137082.0,1200
2019-06-27 07:00:00,137082.0,137097.0,137039.0,137052.0,1098
2019-06-27 07:15:00,137051.0,137068.0,136989.0,136992.0,933
2019-06-27 07:30:00,136993.0,137051.0,136972.0,137042.0,947
2019-06-27 07:45:00,137042.0,137064.0,136997.0,137048.0,621
2019-06-27 08:00:00,137047.0,137068.0,137026.0,137062.0,624
2019-06-27 08:15:00,137061.0,137066.0,137024.0,137035.0,539
2019-06-27 08:30:00,137035.0,137062.0,137002.0,137048.0,722
2019-06-27 08:45:00,137047.0,137101.0,136987.0,136999.0,844
2019-06-27 09:00:00,137001.0,137087.0,136977.0,137014.0,2830
2019-06-27 09:15:00,137014.0,137075.0,137006.0,137038.0,1710
2019-06-27 09:30:00,137038.0,137079.0,137000.0,137032.0,2491
2019-06-27 09:45:00,137031.0,137105.0,137015.0,137088.0,2110
2019-06-27 10:00:00,137088.0,137309.0,137088.0,137267.0,3507
2019-06-27 10:15:00,137267.0,137318.0,137072.0,137097.0,3368
2019-06-27 10:30:00,137098.0,137125.0,137034.0,137066.0,2445
2019-06-27 10:45:00,137067.0,137118.0,137005.0,137035.0,2335
2019-06-27 11:00:00,137040.0,137083.0,136872.0,136920.0,2894
2019-06-27 11:15:00,136919.0,137040.0,136910.0,137036.0,2183
2019-06-27 11:30:00,137035.0,137048.0,136926.0,136978.0,1888
2019-06-27 11:45:00,136979.0,137037.0,136968.0,137036.0,1620
2019-06-27 12:00:00,137036.0,137123.0,136996.0,137071.0,1854
2019-06-27 12:15:00,137072.0,137125.0,137022.0,137115.0,1743
2019-06-27 12:30:00,137114.0,137131.0,137039.0,137046.0,1539
2019-06-27 12:45:00,137047.0,137268.0,137038.0,137092.0,3611
2019-06-27 13:00:00,137093.0,137099.0,136951.0,137036.0,3217
2019-06-27 13:15:00,137036.0,137081.0,136953.0,137081.0,2340
2019-06-27 13:30:00,137081.0,137176.0,137075.0,137165.0,2248
2019-06-27 13:45:00,137164.0,137192.0,137102.0,137104.0,2022
2019-06-27 14:00:00,137104.0,137119.0,137025.0,137027.0,1657
2019-06-27 14:15:00,137027.0,137036.0,136955.0,136986.0,2351
2019-06-27 14:30:00,136986.0,137012.0,136922.0,136962.0,2045
2019-06-27 14:45:00,136963.0,137031.0,136898.0,136978.0,1774
2019-06-27 15:00:00,136977.0,137134.0,136942.0,137115.0,2418
2019-06-27 15:15:00,137115.0,137146.0,137044.0,137045.0,1748
2019-06-27 15:30:00,137045.0,137129.0,137026.0,137100.0,2716
2019-06-27 15:45:00,137101.0,137158.0,137082.0,137098.0,2140
2019-06-27 16:00:00,137098.0,137122.0,137026.0,137101.0,1728
2019-06-27 16:15:00,137101.0,137153.0,137067.0,137071.0,1360
2019-06-27 16:30:00,137063.0,137110.0,136846.0,136885.0,2514
2019-06-27 16:45:00,136884.0,136921.0,136788.0,136840.0,2456
2019-06-27 17:00:00,136843.0,136863.0,136732.0,136743.0,2875
2019-06-27 17:15:00,136744.0,136826.0,136686.0,136788.0,2385
2019-06-27 17:30:00,136788.0,136814.0,136714.0,136737.0,2071
2019-06-27 17:45:00,136737.0,136744.0,136538.0,136573.0,3052
2019-06-27 18:00:00,136574.0,136657.0,136512.0,136568.0,2761
2019-06-27 18:15:00,136570.0,136590.0,136445.0,136476.0,3153
2019-06-27 18:30:00,136477.0,136577.0,136477.0,136546.0,2066
2019-06-27 18:45:00,136547.0,136594.0,136513.0,136516.0,1817
2019-06-27 19:00:00,136515.0,136549.0,136441.0,136538.0,2041
2019-06-27 19:15:00,136540.0,136561.0,136503.0,136515.0,1909
2019-06-27 19:30:00,136515.0,136631.0,136514.0,136575.0,1553
2019-06-27 19:45:00,136577.0,136613.0,136538.0,136582.0,1488
2019-06-27 20:00:00,136583.0,136613.0,136557.0,136571.0,1264
2019-06-27 20:15:00,136571.0,136592.0,136555.0,136568.0,1253
2019-06-27 20:30:00,136567.0,136582.0,136520.0,136529.0,1354
2019-06-27 20:45:00,136527.0,136536.0,136476.0,136518.0,1266
2019-06-27 21:00:00,136518.0,136537.0,136501.0,136513.0,1282
2019-06-27 21:15:00,136511.0,136546.0,136501.0,136519.0,1148
2019-06-27 21:30:00,136524.0,136556.0,136517.0,136533.0,941
2019-06-27 21:45:00,136533.0,136542.0,136401.0,136439.0,1474
2019-06-27 22:00:00,136439.0,136508.0,136433.0,136487.0,1569
2019-06-27 22:15:00,136486.0,136531.0,136465.0,136527.0,1007
2019-06-27 22:30:00,136525.0,136533.0,136486.0,136526.0,1075
2019-06-27 22:45:00,136526.0,136555.0,136494.0,136550.0,1318
2019-06-27 23:00:00,136550.0,136571.0,136542.0,136559.0,671
2019-06-27 23:15:00,136559.0,136559.0,136526.0,136548.0,436
2019-06-27 23:30:00,136548.0,136650.0,136475.0,136492.0,747
