pair,hour,hold,side,dow,n_tr,mean_tr,t_tr,n_te,mean_te,t_te,n,mean
GBPUSD,14,1,-1,,1583,-0.35944409349332185,-1.1633462304400228,824,-0.8961165048544022,-3.098804406966463,2407,-0.5431657665143149
GBPUSD,15,1,1,,1585,-1.1649842271292825,-3.2104924284287395,824,-0.4168689320388758,-0.9046152398838296,2409,-0.9090909090908869
GBPUSD,15,1,-1,,1585,0.7649842271292822,2.1081625071593546,824,0.01686893203887584,0.036605973317072715,2409,0.5090909090908866
GBPUSD,16,1,1,,1587,-0.6120352867045177,-1.2054722773622326,824,-0.929368932038857,-1.4009133603763966,2411,-0.7204894234757726
GBPUSD,16,1,-1,,1587,0.21203528670451763,0.4176273255764913,824,0.529368932038857,0.7979608354612108,2411,0.32048942347577253
GBPUSD,17,1,1,,1587,-0.8018903591682578,-1.3755242379064183,824,-0.25849514563106846,-0.39115910819751215,2411,-0.6161758606387497
GBPUSD,17,1,-1,,1587,0.401890359168258,0.6893834346508968,824,-0.14150485436893145,-0.21412747425272133,2411,0.21617586063874988
GBPUSD,18,1,1,,1587,-0.28809073724009865,-0.6086688091960826,824,0.6127427184465801,1.0103979378967456,2411,0.01978432185812753
GBPUSD,18,1,-1,,1587,-0.11190926275990122,-0.23643827758791172,824,-1.01274271844658,-1.66998827327163,2411,-0.4197843218581275
GBPUSD,19,1,1,,1587,-0.5412098298676197,-1.1909646265266964,824,-0.33762135922329695,-0.5833824540855648,2411,-0.47163002903355833
GBPUSD,19,1,-1,,1587,0.14120982986761973,0.31074068320474524,824,-0.062378640776702965,-0.10778525571531374,2411,0.07163002903355839
GBPUSD,20,1,1,,1587,-0.6587271581601022,-1.3396471896178495,824,-0.6762135922330009,-1.0806697995199328,2411,-0.6647034425549875
GBPUSD,20,1,-1,,1587,0.25872715816010194,0.52617097384461,824,0.27621359223300096,0.44142219377374753,2411,0.26470344255498734
GBPUSD,21,1,1,,1587,-0.1749842470068807,-0.3338531593824743,824,-0.8260922330097278,-1.2393641192824025,2411,-0.3975114060555518
GBPUSD,21,1,-1,,1587,-0.22501575299311927,-0.42930847394865984,824,0.4260922330097279,0.6392547998825637,2411,-0.002488593944448138
GBPUSD,22,1,1,,1586,-0.8083858764186393,-1.5288887615805062,823,1.2812879708383524,1.9345353962809042,2409,-0.09447903694478949
GBPUSD,22,1,-1,,1586,0.4083858764186394,0.7723744254548517,823,-1.6812879708383521,-2.53847001217061,2409,-0.30552096305521037
GBPUSD,23,1,1,,1587,-0.5630749842470517,-1.093863574988957,823,-0.580437424058304,-0.7410135995632819,2410,-0.5690041493776162
GBPUSD,23,1,-1,,1587,0.16307498424705186,0.3167993433384037,823,0.180437424058304,0.230354866098261,2410,0.16900414937761638
GBPUSD,0,2,1,,1586,0.8742749054224908,1.438516191312587,825,-0.36109090909092306,-0.38001515497371013,2411,0.4515553712152878
GBPUSD,0,2,-1,,1586,-1.2742749054224907,-2.0966689907995755,825,-0.038909090909077154,-0.04094825939795673,2411,-0.8515553712152877
GBPUSD,1,2,1,,1586,0.5721941992433899,1.070482978510325,825,0.23818181818186304,0.33875865141562694,2411,0.4579012857735601
GBPUSD,1,2,-1,,1586,-0.9721941992433899,-1.8188184072342235,825,-0.6381818181818628,-0.9076663102814577,2411,-0.8579012857735601
