pair,hour,hold,n,mean,t,n_tr,t_tr,n_te,t_te,win
EURJPY,17,8,2411,2.180745666396968,2.117330326949593,1587,1.9522857929767483,824,0.8352049989335892,52.218996267109084
EURJPY,18,8,2411,0.8369049364094412,0.8559814855290991,1587,0.4274721981670549,824,1.0231277201172357,50.68436333471589
EURJPY,19,8,2411,0.1089082545346317,0.1135259205052521,1587,-0.07974543637223024,824,0.4005412740893466,49.31563666528411
EURJPY,20,8,2411,-0.22634682634464195,-0.23939618578937732,1587,-0.5607857166271693,824,0.5525224843280362,50.228121111571966
EURJPY,21,8,2412,-1.4616993565183467,-1.5607308320464357,1588,-1.5919031049402388,824,-0.3209462962904456,48.8391376451078
EURJPY,22,8,2410,-1.2164421363948956,-1.4068353683985697,1587,-1.8583841940789305,823,0.5585910156648075,49.33609958506224
EURJPY,23,8,2411,-0.6251854825039175,-0.7680164263627137,1588,-2.2093032193694477,823,3.023917737879434,50.4769805060141
EURJPY,0,12,2411,-1.5231577343323786,-1.6582702001170466,1587,-2.0077597421691915,824,0.3689237600650093,47.53214433844878
EURJPY,1,12,2411,-1.2931701773021154,-1.4100079620698476,1587,-1.5540406828563484,824,0.006559596918027951,47.36623807548735
EURJPY,2,12,2407,0.002595180787805074,0.0028851512820465617,1583,-0.239719893058807,824,0.5373285568427295,48.026589115081016
EURJPY,3,12,2404,-0.30150518994175096,-0.3517259130886412,1580,-0.8357812014470183,824,0.980938695335702,48.793677204658906
EURJPY,4,12,2399,-0.0728610273365859,-0.08269403353742599,1578,-0.3907934554711642,821,0.6818813805702115,48.103376406836176
EURJPY,5,12,2341,0.37382097867514624,0.4077186923787099,1520,-0.1793295878748399,821,1.4123870271150847,48.95343870140965
EURJPY,6,12,2340,-0.18129919423660687,-0.18297967543788904,1531,0.4060033734958605,809,-1.35158073389368,47.73504273504274
EURJPY,7,12,2400,0.44785892542155814,0.42972617754705156,1579,1.2294282741899032,821,-1.7132938805117057,49.45833333333333
EURJPY,8,12,2400,2.0084839254215208,1.8756863061817024,1579,1.800043953968399,821,0.566584465043062,51.24999999999999
EURJPY,9,12,2401,2.7323267166196237,2.5039279067506333,1580,1.881130570293315,821,1.9084542027613152,50.93710953769263
EURJPY,10,12,2400,2.1284839254215098,1.9332406067962886,1579,1.6248292358336782,821,1.0948384375041713,51.87500000000001
EURJPY,11,12,2401,1.8109189698474812,1.5764852218396377,1580,1.7071662156272294,821,0.05964923027224642,52.72802998750521
EURJPY,12,12,2402,2.290953985094038,1.9437441272399414,1581,1.774934248689213,821,0.7946878843545172,51.582014987510405
EURJPY,13,12,2407,2.0931228085402163,1.7405314861056829,1583,1.3832057584993753,824,1.132949493515339,52.13959285417532
EURJPY,14,12,2407,0.8061680931268695,0.6711838555978765,1583,0.3540093912665417,824,0.7848005755686174,51.30868300789364
EURJPY,15,12,2409,0.954444438082361,0.7973708838403055,1585,0.6480599439586461,824,0.4850165780874112,50.35284350352843
EURJPY,16,12,2411,0.8123876825070908,0.6856534049542602,1587,0.40407311473460256,824,0.7122567722269156,50.228121111571966
EURJPY,17,12,2411,0.5735656169741197,0.4999471359791655,1587,0.38937162434922984,824,0.3354177784977786,51.09912899211946
EURJPY,18,12,2411,-0.10125810762146506,-0.09295937867822769,1587,-0.6927045651959014,824,1.2006269570007548,49.93778515138946
EURJPY,19,12,2411,-0.3160652415908241,-0.28966040095331796,1587,-1.1867127055059292,824,1.881801111572641,50.4769805060141
EURJPY,20,12,2410,-1.1908665240943552,-1.1200564362201606,1587,-1.4824401365364896,823,0.49197523558952294,49.33609958506224
EURJPY,21,12,2411,-1.9545554945978258,-1.8730404012982982,1588,-1.7273879015024245,823,-0.730048000519908,47.36623807548735
EURJPY,22,12,2409,-1.4793455162555371,-1.503971877183872,1587,-1.637359674436513,822,-0.09606435909761563,47.3225404732254
EURJPY,23,12,2410,-0.9968831216047835,-1.0721122355658976,1588,-1.7844416735698272,822,1.1545383292215932,47.75933609958506
GBPJPY,0,1,2412,-0.443122454872333,-0.8774930462631612,1587,-1.0749275598636783,825,0.07543238844223935,48.34162520729685
GBPJPY,1,1,2412,-0.8105768495655938,-2.0039603562525308,1587,-1.8571800117873887,825,-0.8068285119923423,47.8441127694859
GBPJPY,2,1,2409,-0.19915920759691,-0.5515298524890244,1584,-0.4432374895946789,825,-0.33594421535161945,48.27729348277294
